ERROR:root:21.02.2023-09:30:56-Relais: The replied message contains no start or stop bit!
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:27] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:27] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:27] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:27] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:28] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:28] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:28] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:28] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:28] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:28] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:29] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:29] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:29] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:29] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:30] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:30] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:30] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:30] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:30] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:30] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:31] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:31] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:31] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:31] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:32] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:32] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:32] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:32] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:32] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:32] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:33] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:33] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:33] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:33] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:34] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:34] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:34] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:34] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:34] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:34] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:35] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:35] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:35] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:35] "POST /Dashboard/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:35] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:35] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:36] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:36] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [21/Feb/2023 09:31:36] "POST /Dashboard/fetch/Break HTTP/1.1" 200 -
